"imdb_score","movie_budget","release_day","release_month","duration","maturity_rating","aspect_ratio","nb_news_articles","actor1_star_meter","actor2_star_meter","actor3_star_meter","colour_film","nb_faces","action","adventure","scifi","thriller","musical","romance","western","sport","horror","drama","war","animation","crime","movie_meter_IMDBpro","Plot contains murder","Plot contains love","Plot contains friend","Plot contains death","Plot contains high school","Plot contains police","Plot contains new york city","Plot contains boy","Plot contains drugs","Plot contains school","Plot contains detective","Plot contains fbi","Plot contains friendship","Plot contains money","Plot contains wedding","Plot contains serial killer","Plot contains alien","Plot contains cult film","Plot contains marriage","Plot contains party","Cinematographer is multiple","Cinematographer is Roger Deakins","Cinematographer is Mark Irwin","Cinematographer is John Bailey","Cinematographer is Andrew Dunn","Cinematographer is Jack N. Green","Cinematographer is Matthew F. Leonetti","Cinematographer is Robert Elswit","Cinematographer is Dean Cundey","Cinematographer is Don Burgess","Cinematographer is Julio Macat","Cinematographer is Matthew Libatique","Cinematographer is Peter Deming","Cinematographer is Phedon Papamichael","Cinematographer is Robert D. Yeoman","Cinematographer is Darius Khondji","Cinematographer is Declan Quinn","Cinematographer is Dick Pope","Cinematographer is Elliot Davis","Cinematographer is John R. Leonetti","Production Company is Universal Pictures","Production Company is Paramount Pictures","Production Company is Columbia Pictures Corporation","Production Company is Warner Bros.","Production Company is New Line Cinema","Production Company is Twentieth Century Fox","Production Company is Metro-Goldwyn-Mayer (MGM)","Production Company is Touchstone Pictures","Production Company is DreamWorks","Production Company is Miramax","Production Company is Lionsgate","Production Company is Fox Searchlight Pictures","Production Company is Walt Disney Pictures","Production Company is Dimension Films","Production Company is Focus Features","Production Company is Fox 2000 Pictures","Production Company is Summit Entertainment","Production Company is Screen Gems","Production Company is Castle Rock Entertainment","Production Company is Revolution Studios","Distributor is Warner Bros.","Distributor is Universal Pictures","Distributor is Paramount Pictures","Distributor is Twentieth Century Fox","Distributor is Columbia Pictures Corporation","Distributor is New Line Cinema","Distributor is Buena Vista Pictures","Distributor is Miramax","Distributor is United Artists","Distributor is Metro-Goldwyn-Mayer (MGM)","Distributor is Fox Searchlight Pictures","Distributor is Lionsgate","Distributor is Summit Entertainment","Distributor is Focus Features","Distributor is Screen Gems","Distributor is Lions Gate Films","Distributor is Creative Artists Agency (CAA)","Distributor is Dimension Films","Distributor is TriStar Pictures","Distributor is The Weinstein Company"
8.1,40000000,1,"Apr",147,"R","1.85",7764,779,3801,8675,"Black and White",1,0,0,0,1,0,0,0,0,0,0,0,0,1,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.6,50000000,20,"Nov",130,"PG-13","2.35",16092,740,364,1665,"Color",2,0,1,0,0,0,1,0,0,0,1,0,0,0,2667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5.1,50000000,5,"Aug",107,"PG-13","2.35",368,4638,3512,5364,"Color",5,1,1,0,0,0,0,0,0,0,0,0,0,0,2557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2,15000000,19,"Oct",148,"R","2.35",1183,364,2566,4723,"Color",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.3,18000000,16,"Oct",114,"R","2.35",1652,20,371,4548,"Color",4,1,0,0,1,0,0,0,0,0,0,0,0,1,2246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.8,47000000,23,"Feb",108,"R","1.85",37,513,7177,3512432,"Color",1,0,0,0,1,0,1,0,0,1,1,0,0,0,17965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.7,40000000,18,"May",110,"PG-13","2.35",846,54,913,2216,"Color",12,0,0,0,0,0,1,0,0,0,1,0,0,0,4144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7.5,28000000,6,"Feb",135,"PG","2.4",285,3046,3628,9326,"Color",0,0,0,0,0,0,0,0,1,0,1,0,0,0,5650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2,52000000,22,"Nov",178,"R","2.35",889,379,6344,3613,"Color",2,0,0,0,0,0,0,0,0,0,1,0,0,1,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2,30000000,6,"Aug",107,"PG-13","1.85",755,1263,10531,81561,"Color",0,0,0,0,0,1,1,0,0,0,1,0,0,0,6956,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7.1,8000000,17,"Sep",92,"PG-13","1.85",3068,18,3251,1588,"Color",1,0,0,0,0,0,1,0,0,0,0,0,0,0,978,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.8,25000000,10,"Feb",86,"R","2.35",348,6699,4334,5322,"Color",0,0,0,0,0,0,0,0,0,1,0,0,0,0,3882,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1,13000000,24,"Apr",91,"R","1.85",53,3767,3100,11054,"Color",5,1,0,0,1,0,0,0,0,0,0,0,0,1,10747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7.2,1000000,10,"Oct",92,"R","1.85",502,6614,13365,23052,"Color",2,0,0,0,0,0,0,0,0,0,0,0,0,0,6818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,33000000,16,"Apr",140,"R","2.35",708,1724,33408,8439,"Color",1,1,0,0,1,0,0,0,0,0,1,0,0,1,1554,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6.2,35000000,25,"Jan",118,"R","2.35",881,304,2999,2252,"Color",0,1,0,0,1,0,1,0,0,0,0,0,0,1,4776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,12000000,11,"Aug",104,"PG-13","2.35",2550,573,1263,6852,"Color",0,0,0,0,0,1,1,0,0,0,1,0,0,1,3278,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
