"imdb_score","movie_budget","release_month","duration","maturity_rating","aspect_ratio","nb_news_articles","actor1_star_meter","actor2_star_meter","actor3_star_meter","colour_film","nb_faces","action","adventure","scifi","thriller","musical","romance","western","sport","horror","drama","war","animation","crime","movie_meter_IMDBpro","Plot contains murder","Plot contains love","Plot contains friend","Plot contains death","Plot contains high school","Plot contains police","Plot contains new york city","Plot contains boy","Plot contains drugs","Plot contains school","Plot contains detective","Plot contains fbi","Plot contains friendship","Plot contains money","Plot contains wedding","Plot contains serial killer","Plot contains alien","Plot contains cult film","Plot contains marriage","Plot contains party","Production Company is Universal Pictures","Production Company is Paramount Pictures","Production Company is Columbia Pictures Corporation","Production Company is Warner Bros.","Production Company is New Line Cinema","Production Company is Twentieth Century Fox","Production Company is Metro-Goldwyn-Mayer (MGM)","Production Company is Touchstone Pictures","Production Company is DreamWorks","Production Company is Miramax","Production Company is Lionsgate","Production Company is Fox Searchlight Pictures","Production Company is Walt Disney Pictures","Production Company is Dimension Films","Production Company is Focus Features","Production Company is Fox 2000 Pictures","Production Company is Summit Entertainment","Production Company is Screen Gems","Production Company is Castle Rock Entertainment","Production Company is Revolution Studios"
5.7,3000000,"Nov",85,"R","2.35",54,6743,1059,7775,"Color",0,0,0,1,1,0,0,0,0,1,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.3,25000000,"Jul",99,"PG-13","2.35",724,10959,6428,23888,"Color",1,1,1,0,0,0,0,0,0,0,0,0,0,0,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.7,45000000,"Jul",119,"PG-13","2.35",118,1682,3741,2271,"Color",3,0,0,0,1,0,0,0,0,0,1,0,0,1,4023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.3,35000000,"Sep",138,"R","2.35",80,625,2152,10551,"Color",2,0,0,0,1,0,0,0,0,0,1,0,0,1,1615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,45000000,"Jan",106,"R","2.35",82,1863,2629,3253,"Color",0,1,1,1,0,0,0,0,0,1,0,0,0,0,4759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,6000000,"Jul",104,"R","2.35",0,159,2423,2364,"Color",3,0,0,0,0,0,0,0,0,0,1,1,0,0,656405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.1,22000000,"Feb",240,"PG","2.35",505,354,12900,8476,"Black and White",0,0,0,0,0,0,0,0,0,0,1,0,0,0,4226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.8,15000000,"Aug",95,"R","2.35",189,1552,1985,4391,"Color",0,0,0,0,0,1,0,0,0,0,0,0,0,0,8068,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,40000000,"Nov",93,"PG-13","2.35",4,1498,272,5006,"Color",0,1,1,0,1,0,0,0,0,0,0,0,0,0,25980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,30000000,"Aug",106,"R","2.35",32,341,6664,1054,"Color",1,1,0,1,1,0,0,0,0,0,0,0,0,1,6993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1,35000000,"May",87,"PG-13","2.35",395,5045,6500,1612,"Color",2,1,0,0,0,0,0,0,0,0,0,0,0,1,6030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.9,27000000,"Jul",117,"PG-13","2.35",201,1278,1985,6237,"Color",2,0,0,0,0,0,0,0,1,0,0,0,0,0,2988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2,16000000,"Jan",112,"R","2.35",256,491,52,370,"Color",0,0,0,0,0,0,1,0,0,0,1,0,0,0,2237,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.8,3000000,"Oct",110,"R","2.35",2133,50119,68636,3000,"Color",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.4,50000000,"Oct",141,"R","2.35",1003,159,1739,217,"Color",1,0,0,0,0,0,0,0,0,0,1,0,0,1,3475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.6,45000000,"Nov",111,"PG-13","2.35",205,6476,2735,3898,"Color",2,1,1,1,1,0,0,0,0,0,1,0,0,0,5990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.7,17000000,"Jan",109,"R","2.35",414,125,1954,8987,"Color",0,1,0,0,1,0,0,0,0,0,1,0,0,1,3654,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.8,780000,"Mar",90,"PG-13","2.35",15,19392,7081,26283,"Color",0,1,1,0,0,0,0,0,0,0,1,1,0,0,20530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3,8000000,"Dec",138,"R","2.35",263,1504,943,2999,"Color",0,1,0,0,1,0,0,0,0,0,0,0,0,1,7306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,25000000,"Dec",111,"R","2.35",559,5556,112888,65215,"Color",1,0,0,0,1,0,0,0,0,0,1,0,0,1,4187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1,15000000,"Mar",89,"R","2.35",127,3075,3292,6230,"Color",0,0,0,0,0,0,0,0,0,1,0,0,0,0,2679,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,11500000,"Jan",109,"R","2.35",386,379,306,797,"Color",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7.3,6500000,"Jan",143,"PG","2.35",64,1300,7159,4003,"Color",1,0,0,0,0,1,0,0,0,0,1,0,0,0,5177,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.7,15000000,"Apr",108,"R","2.35",1756,33691,3,11608,"Black and White",0,0,0,1,1,0,0,0,0,0,1,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,40000000,"Mar",110,"PG-13","2.35",1434,371,12763,5536,"Color",1,1,0,0,0,0,1,0,0,0,0,0,0,0,6249,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.6,17000000,"Jun",105,"PG","2.35",165,3828,6150,9685,"Color",1,1,1,1,0,0,0,0,0,0,0,0,0,0,6221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.3,15000000,"Mar",104,"PG-13","2.35",173,9,2811,9647,"Color",0,0,0,1,1,0,0,0,0,1,1,0,0,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.9,25000000,"Jun",119,"R","2.35",532,379,7460,5852,"Color",1,0,0,0,1,0,0,0,0,0,1,0,0,1,1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.8,20000000,"Oct",115,"R","2.35",190,719,9076,12184,"Color",0,0,0,0,0,0,0,1,0,0,1,0,0,1,5886,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,6500000,"Jan",102,"R","2.35",4,3521,17292,4731,"Color",0,1,1,0,0,0,0,1,0,0,1,0,0,0,60683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.1,29000000,"Aug",110,"PG-13","2.35",641,559,4916,15321,"Color",3,0,0,0,0,1,1,0,0,0,1,0,0,0,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
